1880s Area Name,Modern Council Area
Edinburgh,City of Edinburgh
"Glasgow, Lanark",Glasgow City
"Inverness-shire, Kingussie",Highland
Inverness,Highland
"Ross-shire, Dingwall",Highland
"Sutherland, Bonar Bridge",Highland
"Sutherland, Golspie",Highland
"Sutherland, Helmsdale",Highland
"Caithness, Lybster",Highland
"Argyll, Lismore",Argyll and Bute
"Argyll, Lochaline",Argyll and Bute
"Argyll, Tobermory, Mull",Argyll and Bute
"Argyll, Bunessan, Mull",Argyll and Bute
"Argyll, Tyree",Argyll and Bute
"Inverness-shire, Arisaig",Highland
"Inverness-shire, Glenelg",Highland
"Inverness-shire, Glenshiel, Letterfearn",Highland
"Ross-shire, Balmacara",Highland
"Ross-shire, Shieldaig",Highland
"Ross-shire, Poolewe",Highland
"Ross-shire, Ullapool",Highland
"Sutherland, Lochinver",Highland
"Sutherland, Kinlochbervie",Highland
"Sutherland, Bettyhill",Highland
"Orkney, Kirkwall",Orkney Islands
"Orkney, Birsay",Orkney Islands
"Orkney, Harray",Orkney Islands
"Orkney, Sanday",Orkney Islands
"Shetland, Lerwick",Shetland Islands
"Shetland, Foula",Shetland Islands
"Shetland, Hillswick",Shetland Islands
"Unst, Baltasound",Shetland Islands
"Mid Yell, Raefirth",Shetland Islands
"Harris, Tarbert",Na h-Eileanan Siar
"Lewis, Keose",Na h-Eileanan Siar
"Lewis, Stornoway",Na h-Eileanan Siar
"Lewis, Ness",Na h-Eileanan Siar
"Lewis, Barvasï¿½",Na h-Eileanan Siar
"Lewis, Breasclete",Na h-Eileanan Siar
"Lewis, Meavaig",Na h-Eileanan Siar
St Kilda,Na h-Eileanan Siar
"Harris, Obe",Na h-Eileanan Siar
"North Uist, Loch Eport",Na h-Eileanan Siar
"Benbecula, Torlum",Na h-Eileanan Siar
"South Uist, Lochboisdale",Na h-Eileanan Siar
"Barra, Castlebay",Na h-Eileanan Siar
"Skye, Portree",Highland
"Raasay, Torran",Highland
"Skye, Glendale",Highland
"Skye, Bracadale",Highland
"Skye, Isle Ornsay",Highland
"Skye, Broadford",Highland
"Skye, Dunvegan",Highland
"Skye, Waternish",Highland
"Skye, Stenscholl",Highland
"Skye, Uig",Highland
"Skye, Skeabost",Highland
"Skye, Braes",Highland
